"repo","developer","week","commits","lines_added","lines_deleted","files_changed","mean_hour","hour_std","total_churn","churn_ratio","net_lines","avg_lines_per_commit","avg_files_per_commit","is_after_hours","hour_normalized","file_spread","commit_density","risk_intensity","workload_intensity","refactor_signal","repo_id","dev_id"
"requests","dev_requests_01",2024-01-08,0,10,0,1,10.85,4.39,10,0,10,0,0,0,0.205555555555556,0.693147180559945,0,4.39,0,0,4,25
"requests","dev_requests_01",2024-01-15,9,2777,647,11,15.87,3.29,3424,0.232985235866043,2130,380.444444444444,1.22222222222222,0,0.763333333333333,2.484906649788,2.30258509299405,187.749333333333,73.2497107562669,0.188960280373832,4,25
"requests","dev_requests_01",2024-01-22,2,559,184,12,15.68,2.75,743,0.329159212880143,375,371.5,6,0,0.742222222222222,2.56494935746154,1.09861228866811,31.4346153846154,13.2240820696662,0.24764468371467,4,25
"requests","dev_requests_01",2024-02-19,3,839,521,3,16.86,3.75,1360,0.620977353992849,318,453.333333333333,1,0,0.873333333333333,1.38629436111989,1.38629436111989,255,21.6479250079544,0.383088235294118,4,25
"requests","dev_requests_01",2024-03-04,3,915,364,3,15.29,3.51,1279,0.397814207650273,551,426.333333333333,1,0,0.698888888888889,1.38629436111989,1.38629436111989,224.4645,21.463846070741,0.284597341673182,4,25
"requests","dev_requests_01",2024-03-11,2,433,189,4,15.1,1.61,622,0.4364896073903,244,311,2,0,0.677777777777778,1.6094379124341,1.09861228866811,40.0568,12.8690930375749,0.303858520900322,4,25
"requests","dev_requests_01",2024-03-18,8,1978,1204,7,16.09,2.36,3182,0.608695652173913,774,397.75,0.875,0,0.787777777777778,2.07944154167984,2.19722457733622,187.738,64.5246354182567,0.378378378378378,4,25
"requests","dev_requests_01",2024-04-01,4,965,671,10,14.34,2.57,1636,0.695336787564767,294,409,2.5,0,0.593333333333333,2.39789527279837,1.6094379124341,76.4458181818182,29.6024823094845,0.410146699266504,4,25
"requests","dev_requests_01",2024-04-15,2,902,225,6,12.91,2.55,1127,0.249445676274945,677,563.5,3,0,0.434444444444444,1.94591014905531,1.09861228866811,82.11,14.056402864116,0.199645075421473,4,25
"requests","dev_requests_01",2024-04-22,10,3284,1384,2,13.48,3.49,4668,0.421437271619976,1900,466.8,0.2,0,0.497777777777778,1.09861228866811,2.39789527279837,1086.088,84.4870019497094,0.296486718080548,4,25
"requests","dev_requests_01",2024-05-06,1,257,174,8,16.15,2.07,431,0.67704280155642,83,431,8,0,0.794444444444444,2.19722457733622,0.693147180559945,19.826,6.06842558824411,0.403712296983759,4,25
"requests","dev_requests_01",2024-05-20,4,1096,344,4,14.52,2.44,1440,0.313868613138686,752,360,1,0,0.613333333333333,1.6094379124341,1.6094379124341,140.544,29.0923703839981,0.238888888888889,4,25
"requests","dev_requests_01",2024-05-27,4,831,520,7,14.97,2.72,1351,0.62575210589651,311,337.75,1.75,0,0.663333333333333,2.07944154167984,1.6094379124341,91.868,28.8373610264116,0.384900074019245,4,25
"requests","dev_requests_01",2024-06-03,7,1290,1036,6,15.39,2.09,2326,0.803100775193798,254,332.285714285714,0.857142857142857,0,0.71,1.94591014905531,2.07944154167984,138.895428571429,54.266346143116,0.445399828030954,4,25
"requests","dev_requests_01",2024-06-10,7,2155,631,7,15.34,2.96,2786,0.292807424593968,1524,398,1,0,0.704444444444444,2.07944154167984,2.07944154167984,206.164,55.5290471923736,0.226489590811199,4,25
"requests","dev_requests_01",2024-06-17,7,1417,1038,8,14.63,2.12,2455,0.732533521524347,379,350.714285714286,1.14285714285714,0,0.625555555555556,2.19722457733622,2.07944154167984,115.657777777778,54.6440250248692,0.422810590631365,4,25
"requests","dev_requests_01",2024-06-24,6,1621,560,13,14.71,2.79,2181,0.345465761875386,1061,363.5,2.16666666666667,0,0.634444444444445,2.63905732961526,1.94591014905531,86.9284285714286,46.1279829983581,0.256762952773957,4,25
"requests","dev_requests_02",2024-01-01,1,163,137,8,15.71,3.87,300,0.840490797546012,26,300,8,0,0.745555555555556,2.19722457733622,0.693147180559945,25.8,5.70711026474888,0.456666666666667,4,26
"requests","dev_requests_02",2024-01-08,4,1581,370,11,17.25,3.65,1951,0.234029095509171,1211,487.75,2.75,0,0.916666666666667,2.484906649788,1.6094379124341,118.685833333333,30.3064390678921,0.189646335212711,4,26
"requests","dev_requests_02",2024-01-15,6,1294,678,3,16.74,2.04,1972,0.523956723338485,616,328.666666666667,0.5,0,0.86,1.38629436111989,1.94591014905531,201.144,45.5238630361357,0.343813387423935,4,26
"requests","dev_requests_02",2024-01-22,1,219,110,8,10.18,3.47,329,0.502283105022831,109,329,8,0,0.131111111111111,2.19722457733622,0.693147180559945,25.3695555555556,5.79909265446053,0.33434650455927,4,26
"requests","dev_requests_02",2024-02-12,4,337,208,7,14.47,4.28,545,0.617210682492582,129,136.25,1.75,0,0.607777777777778,2.07944154167984,1.6094379124341,58.315,25.2104759029796,0.381651376146789,4,26
"requests","dev_requests_02",2024-02-19,6,1294,619,9,15.32,1.82,1913,0.478361669242658,675,318.833333333333,1.5,0,0.702222222222222,2.30258509299405,1.94591014905531,69.6332,45.3417034320774,0.323575535807632,4,26
"requests","dev_requests_02",2024-02-26,1,350,183,5,15.73,1.58,533,0.522857142857143,167,533,5,0,0.747777777777778,1.79175946922805,0.693147180559945,28.0713333333333,6.2803958389602,0.343339587242026,4,26
"requests","dev_requests_02",2024-03-11,1,271,55,6,15.77,3.98,326,0.202952029520295,216,326,6,0,0.752222222222222,1.94591014905531,0.693147180559945,37.0708571428571,5.78996017089725,0.168711656441718,4,26
"requests","dev_requests_02",2024-03-18,3,864,504,4,12.14,2.33,1368,0.583333333333333,360,456,1.33333333333333,0,0.348888888888889,1.6094379124341,1.38629436111989,127.4976,21.6655074758653,0.368421052631579,4,26
"requests","dev_requests_02",2024-03-25,4,1202,348,1,14.17,3.36,1550,0.289517470881864,854,387.5,0.25,0,0.574444444444444,0.693147180559945,1.6094379124341,520.8,29.3866206527062,0.224516129032258,4,26
